County,State,Female high school graduate or higher,Female Percent bachelor's degree or higher,Male Percent high school graduate or higher,Male Percent bachelor's degree or higher,Total Percent high school graduate or higher,Total Percent bachelor's degree or higher
Philadelphia County, Pennsylvania,0.837,0.278,0.823,0.27,0.831,0.274
Schuylkill County, Pennsylvania,0.893,0.172,0.89,0.148,0.892,0.16
Somerset County, Pennsylvania,0.863,0.166,0.857,0.133,0.86,0.149
Washington County, Pennsylvania,0.925,0.284,0.923,0.3,0.924,0.292
Westmoreland County, Pennsylvania,0.943,0.266,0.932,0.269,0.938,0.267
York County, Pennsylvania,0.892,0.228,0.893,0.226,0.893,0.227
Kent County, Rhode Island,0.922,0.326,0.897,0.297,0.911,0.312
Newport County, Rhode Island,0.937,0.452,0.942,0.479,0.939,0.465
Providence County, Rhode Island,0.844,0.279,0.838,0.275,0.841,0.277
Washington County, Rhode Island,0.961,0.437,0.943,0.447,0.952,0.442
Aiken County, South Carolina,0.84,0.23,0.853,0.269,0.846,0.248
Anderson County, South Carolina,0.847,0.181,0.831,0.199,0.84,0.19
Beaufort County, South Carolina,0.93,0.369,0.909,0.459,0.92,0.412
Berkeley County, South Carolina,0.901,0.253,0.886,0.234,0.894,0.244
Charleston County, South Carolina,0.918,0.422,0.904,0.427,0.912,0.425
Darlington County, South Carolina,0.824,0.157,0.796,0.195,0.811,0.174
Dorchester County, South Carolina,0.926,0.269,0.917,0.277,0.922,0.273
Florence County, South Carolina,0.868,0.233,0.816,0.18,0.845,0.209
Greenville County, South Carolina,0.872,0.315,0.844,0.338,0.859,0.326
Greenwood County, South Carolina,0.86,0.206,0.857,0.276,0.859,0.238
Horry County, South Carolina,0.893,0.233,0.878,0.243,0.886,0.237
Lancaster County, South Carolina,0.852,0.248,0.802,0.242,0.828,0.245
Laurens County, South Carolina,0.845,0.129,0.794,0.15,0.82,0.139
Lexington County, South Carolina,0.904,0.313,0.881,0.298,0.893,0.306
Oconee County, South Carolina,0.845,0.239,0.81,0.255,0.828,0.247
Orangeburg County, South Carolina,0.839,0.255,0.864,0.187,0.851,0.224
Pickens County, South Carolina,0.867,0.213,0.841,0.225,0.854,0.219
Richland County, South Carolina,0.921,0.386,0.901,0.357,0.912,0.372
Spartanburg County, South Carolina,0.841,0.235,0.815,0.234,0.829,0.234
Sumter County, South Carolina,0.85,0.177,0.796,0.167,0.825,0.173
York County, South Carolina,0.913,0.332,0.891,0.326,0.903,0.329
Minnehaha County, South Dakota,0.925,0.315,0.893,0.296,0.909,0.305
Pennington County, South Dakota,0.954,0.306,0.954,0.318,0.954,0.312
Anderson County, Tennessee,0.842,0.221,0.816,0.283,0.83,0.25
Blount County, Tennessee,0.875,0.233,0.867,0.243,0.871,0.237
Bradley County, Tennessee,0.83,0.2,0.814,0.21,0.822,0.205
Davidson County, Tennessee,0.895,0.398,0.87,0.373,0.883,0.386
Greene County, Tennessee,0.853,0.178,0.805,0.145,0.83,0.162
Hamilton County, Tennessee,0.871,0.297,0.859,0.31,0.865,0.303
Knox County, Tennessee,0.91,0.354,0.91,0.371,0.91,0.362
Madison County, Tennessee,0.916,0.27,0.912,0.265,0.915,0.268
Maury County, Tennessee,0.905,0.208,0.887,0.182,0.896,0.196
Montgomery County, Tennessee,0.937,0.283,0.938,0.249,0.937,0.266
Putnam County, Tennessee,0.85,0.239,0.825,0.278,0.838,0.258
Robertson County, Tennessee,0.886,0.179,0.863,0.156,0.875,0.168
Rutherford County, Tennessee,0.901,0.308,0.902,0.293,0.902,0.301
Sevier County, Tennessee,0.866,0.193,0.806,0.193,0.838,0.193
Shelby County, Tennessee,0.88,0.307,0.863,0.291,0.872,0.3
Sullivan County, Tennessee,0.866,0.229,0.866,0.247,0.866,0.238
Sumner County, Tennessee,0.906,0.276,0.883,0.274,0.895,0.275
Washington County, Tennessee,0.91,0.288,0.854,0.294,0.883,0.291
Williamson County, Tennessee,0.958,0.558,0.965,0.597,0.961,0.576
Wilson County, Tennessee,0.905,0.291,0.914,0.317,0.909,0.304
Angelina County, Texas,0.808,0.172,0.768,0.139,0.789,0.156
Bastrop County, Texas,0.812,0.218,0.804,0.16,0.808,0.189
Bell County, Texas,0.898,0.262,0.915,0.247,0.907,0.255
Bexar County, Texas,0.834,0.272,0.83,0.257,0.832,0.265
Bowie County, Texas,0.877,0.15,0.868,0.148,0.873,0.149
Brazoria County, Texas,0.877,0.34,0.85,0.269,0.864,0.304
Brazos County, Texas,0.883,0.4,0.851,0.421,0.867,0.41
Cameron County, Texas,0.629,0.156,0.684,0.147,0.655,0.152
Collin County, Texas,0.932,0.485,0.93,0.521,0.931,0.502
Comal County, Texas,0.916,0.316,0.894,0.333,0.905,0.324
Coryell County, Texas,0.891,0.153,0.885,0.114,0.888,0.135
Dallas County, Texas,0.791,0.302,0.762,0.3,0.777,0.301
Denton County, Texas,0.923,0.404,0.919,0.438,0.921,0.421
Ector County, Texas,0.776,0.184,0.761,0.141,0.769,0.162
Ellis County, Texas,0.87,0.27,0.835,0.192,0.853,0.233
El Paso County, Texas,0.764,0.231,0.785,0.225,0.774,0.228
Fort Bend County, Texas,0.905,0.422,0.902,0.483,0.904,0.451
Galveston County, Texas,0.889,0.296,0.861,0.31,0.876,0.303
Grayson County, Texas,0.875,0.189,0.864,0.194,0.87,0.192
Gregg County, Texas,0.84,0.208,0.838,0.215,0.839,0.211
Guadalupe County, Texas,0.888,0.279,0.874,0.263,0.881,0.271
Harris County, Texas,0.809,0.294,0.791,0.303,0.8,0.299
Harrison County, Texas,0.876,0.18,0.813,0.14,0.845,0.16
Hays County, Texas,0.909,0.351,0.88,0.36,0.895,0.356
Henderson County, Texas,0.862,0.24,0.831,0.166,0.847,0.205
Hidalgo County, Texas,0.608,0.175,0.628,0.171,0.618,0.173
Hunt County, Texas,0.842,0.196,0.832,0.18,0.837,0.188
Jefferson County, Texas,0.853,0.206,0.823,0.174,0.838,0.19
Johnson County, Texas,0.854,0.204,0.836,0.182,0.845,0.193
Kaufman County, Texas,0.861,0.234,0.858,0.173,0.859,0.205
Liberty County, Texas,0.719,0.115,0.768,0.097,0.743,0.106
Lubbock County, Texas,0.851,0.266,0.85,0.26,0.85,0.263
McLennan County, Texas,0.87,0.257,0.824,0.208,0.848,0.233
Midland County, Texas,0.866,0.264,0.843,0.263,0.855,0.264
Montgomery County, Texas,0.88,0.335,0.841,0.344,0.861,0.339
Nacogdoches County, Texas,0.855,0.258,0.792,0.233,0.825,0.246
Nueces County, Texas,0.811,0.221,0.796,0.19,0.804,0.206
Orange County, Texas,0.892,0.197,0.901,0.119,0.896,0.159
Parker County, Texas,0.879,0.253,0.845,0.271,0.863,0.261
Potter County, Texas,0.792,0.156,0.742,0.157,0.766,0.157
Randall County, Texas,0.923,0.321,0.9,0.31,0.912,0.316
Rockwall County, Texas,0.922,0.385,0.904,0.388,0.914,0.387
San Patricio County, Texas,0.815,0.172,0.782,0.195,0.799,0.183
Smith County, Texas,0.842,0.229,0.802,0.265,0.823,0.246
Tarrant County, Texas,0.86,0.307,0.847,0.308,0.854,0.308
Taylor County, Texas,0.889,0.231,0.892,0.226,0.89,0.228
Tom Green County, Texas,0.829,0.229,0.839,0.244,0.834,0.236
Travis County, Texas,0.889,0.477,0.878,0.466,0.883,0.472
Victoria County, Texas,0.871,0.226,0.81,0.223,0.842,0.225
Walker County, Texas,0.9,0.321,0.799,0.178,0.835,0.228
Webb County, Texas,0.636,0.174,0.697,0.173,0.664,0.174
Wichita County, Texas,0.854,0.245,0.806,0.202,0.83,0.224
Williamson County, Texas,0.939,0.39,0.922,0.42,0.931,0.404
Cache County, Utah,0.927,0.341,0.929,0.351,0.928,0.346
Davis County, Utah,0.945,0.315,0.947,0.411,0.946,0.362
Salt Lake County, Utah,0.905,0.313,0.898,0.348,0.901,0.33
Utah County, Utah,0.934,0.341,0.923,0.423,0.929,0.382
Washington County, Utah,0.917,0.23,0.932,0.293,0.924,0.26
Weber County, Utah,0.913,0.215,0.895,0.247,0.904,0.231
Chittenden County, Vermont,0.936,0.512,0.93,0.486,0.933,0.5
Albemarle County, Virginia,0.937,0.51,0.93,0.526,0.933,0.517
Arlington County, Virginia,0.929,0.736,0.922,0.732,0.926,0.734
Augusta County, Virginia,0.874,0.235,0.852,0.204,0.863,0.219
Bedford County, Virginia,0.895,0.29,0.814,0.242,0.855,0.266
Chesterfield County, Virginia,0.922,0.369,0.911,0.385,0.917,0.376
Fairfax County, Virginia,0.922,0.566,0.919,0.624,0.92,0.594
Fauquier County, Virginia,0.922,0.325,0.922,0.335,0.922,0.33
Frederick County, Virginia,0.896,0.313,0.87,0.246,0.884,0.281
Hanover County, Virginia,0.949,0.352,0.899,0.345,0.925,0.349
Henrico County, Virginia,0.917,0.447,0.921,0.434,0.919,0.441
James City County, Virginia,0.958,0.419,0.93,0.533,0.945,0.472
Loudoun County, Virginia,0.939,0.58,0.937,0.625,0.938,0.602
Montgomery County, Virginia,0.926,0.456,0.917,0.499,0.922,0.477
Prince William County, Virginia,0.887,0.39,0.857,0.403,0.873,0.397
Roanoke County, Virginia,0.941,0.339,0.921,0.379,0.932,0.358
Rockingham County, Virginia,0.822,0.274,0.797,0.202,0.81,0.24
Spotsylvania County, Virginia,0.911,0.296,0.88,0.329,0.896,0.312
Stafford County, Virginia,0.924,0.349,0.936,0.37,0.93,0.359
York County, Virginia,0.957,0.399,0.931,0.442,0.944,0.419
Alexandria city, Virginia,0.915,0.606,0.925,0.589,0.92,0.598
Chesapeake city, Virginia,0.916,0.348,0.919,0.286,0.917,0.318
Hampton city, Virginia,0.896,0.263,0.906,0.23,0.9,0.248
Lynchburg city, Virginia,0.876,0.294,0.875,0.377,0.876,0.33
Newport News city, Virginia,0.923,0.237,0.889,0.257,0.907,0.246
Norfolk city, Virginia,0.871,0.269,0.874,0.264,0.873,0.266
Portsmouth city, Virginia,0.845,0.263,0.858,0.204,0.851,0.236
Richmond city, Virginia,0.869,0.37,0.845,0.385,0.858,0.377
Roanoke city, Virginia,0.87,0.234,0.827,0.199,0.85,0.217
Suffolk city, Virginia,0.872,0.282,0.872,0.271,0.872,0.277
Virginia Beach city, Virginia,0.923,0.344,0.938,0.31,0.93,0.328
Benton County, Washington,0.885,0.269,0.902,0.323,0.894,0.295
Chelan County, Washington,0.85,0.226,0.798,0.24,0.824,0.233
Clallam County, Washington,0.95,0.279,0.918,0.238,0.935,0.259
Clark County, Washington,0.917,0.256,0.9,0.295,0.908,0.275
Cowlitz County, Washington,0.901,0.181,0.877,0.164,0.889,0.172
Franklin County, Washington,0.757,0.168,0.763,0.205,0.76,0.187
Grant County, Washington,0.783,0.184,0.713,0.154,0.748,0.169
Grays Harbor County, Washington,0.915,0.169,0.893,0.166,0.904,0.168
Island County, Washington,0.95,0.328,0.948,0.317,0.949,0.322
King County, Washington,0.93,0.498,0.927,0.504,0.929,0.501
Kitsap County, Washington,0.942,0.31,0.955,0.301,0.948,0.305
Lewis County, Washington,0.896,0.177,0.849,0.178,0.873,0.177
Pierce County, Washington,0.921,0.259,0.91,0.254,0.916,0.257
Skagit County, Washington,0.906,0.244,0.912,0.243,0.909,0.244
Snohomish County, Washington,0.921,0.315,0.913,0.33,0.917,0.322
Spokane County, Washington,0.94,0.291,0.925,0.278,0.933,0.285
Thurston County, Washington,0.92,0.33,0.917,0.323,0.919,0.327
Whatcom County, Washington,0.938,0.328,0.922,0.332,0.93,0.33
Yakima County, Washington,0.747,0.165,0.709,0.15,0.728,0.157
Berkeley County, West Virginia,0.907,0.182,0.857,0.175,0.883,0.178
Cabell County, West Virginia,0.905,0.257,0.865,0.242,0.886,0.25
Harrison County, West Virginia,0.88,0.206,0.869,0.231,0.875,0.218
Kanawha County, West Virginia,0.904,0.252,0.87,0.257,0.888,0.254
Monongalia County, West Virginia,0.932,0.387,0.905,0.42,0.918,0.404
Raleigh County, West Virginia,0.829,0.162,0.786,0.154,0.807,0.158
Wood County, West Virginia,0.883,0.198,0.884,0.202,0.883,0.2
Brown County, Wisconsin,0.923,0.308,0.909,0.261,0.917,0.285
Dane County, Wisconsin,0.951,0.489,0.95,0.482,0.951,0.485
Dodge County, Wisconsin,0.905,0.19,0.895,0.155,0.9,0.172
Eau Claire County, Wisconsin,0.933,0.323,0.924,0.317,0.929,0.32
Fond du Lac County, Wisconsin,0.929,0.244,0.903,0.188,0.916,0.217
Jefferson County, Wisconsin,0.919,0.245,0.921,0.199,0.92,0.222
Kenosha County, Wisconsin,0.908,0.24,0.906,0.229,0.907,0.235
La Crosse County, Wisconsin,0.939,0.337,0.94,0.289,0.94,0.314
Manitowoc County, Wisconsin,0.916,0.193,0.874,0.178,0.895,0.186
Marathon County, Wisconsin,0.919,0.236,0.892,0.239,0.905,0.237
Milwaukee County, Wisconsin,0.879,0.31,0.857,0.28,0.868,0.296
Outagamie County, Wisconsin,0.937,0.298,0.951,0.289,0.944,0.293
Ozaukee County, Wisconsin,0.974,0.46,0.969,0.477,0.972,0.468
Portage County, Wisconsin,0.928,0.341,0.919,0.3,0.924,0.32
Racine County, Wisconsin,0.908,0.24,0.871,0.24,0.89,0.24
Rock County, Wisconsin,0.907,0.234,0.888,0.2,0.898,0.218
St. Croix County, Wisconsin,0.967,0.341,0.955,0.283,0.961,0.313
Sheboygan County, Wisconsin,0.901,0.242,0.923,0.225,0.912,0.234
Walworth County, Wisconsin,0.896,0.279,0.879,0.247,0.887,0.263
Washington County, Wisconsin,0.947,0.282,0.938,0.296,0.942,0.289
Waukesha County, Wisconsin,0.962,0.422,0.961,0.427,0.961,0.424
Winnebago County, Wisconsin,0.93,0.27,0.902,0.243,0.916,0.256
Wood County, Wisconsin,0.955,0.216,0.918,0.226,0.937,0.221
Laramie County, Wyoming,0.905,0.279,0.938,0.27,0.921,0.275
Natrona County, Wyoming,0.897,0.212,0.892,0.231,0.894,0.222
Arecibo Municipio, Puerto Rico,0.779,0.267,0.719,0.15,0.752,0.213
Bayamón Municipio, Puerto Rico,0.822,0.332,0.757,0.262,0.793,0.3
Caguas Municipio, Puerto Rico,0.824,0.35,0.774,0.235,0.802,0.299
Carolina Municipio, Puerto Rico,0.813,0.318,0.834,0.284,0.822,0.303
Guaynabo Municipio, Puerto Rico,0.843,0.482,0.842,0.46,0.843,0.472
Mayagüez Municipio, Puerto Rico,0.725,0.249,0.78,0.235,0.75,0.243
Ponce Municipio, Puerto Rico,0.783,0.268,0.781,0.222,0.782,0.247
San Juan Municipio, Puerto Rico,0.79,0.342,0.757,0.31,0.775,0.328
Toa Alta Municipio, Puerto Rico,0.845,0.407,0.809,0.247,0.828,0.332
Toa Baja Municipio, Puerto Rico,0.832,0.315,0.785,0.217,0.811,0.27
Trujillo Alto Municipio, Puerto Rico,0.862,0.403,0.811,0.325,0.839,0.368
